id,description,image_url,image_web,title,width,height
8KUx3fV6ekXrlIgEEeA6,"Cartoon-style illustration of a thrilling avalanche, snowy mountain landscape, energetic snow movement, playful cartoonish snowflakes, exaggerated scale and motion, vibrant and colorful, dynamic composition, high energy, stylized cartoon, humorous interpretation, exaggerated action, comical snow characters, vibrant cartoony color palette, playful and exaggerated style, action-packed scene, best quality, high energy, vibrant colors, cartoon style, playful, exaggerated motion, snowy landscape, dynamic composition, comical characters, highres, dynamic lighting",https://cdn.openart.ai/uploads/image_Ptf9qP-5_1710985748734_raw.jpg,https://cdn.openart.ai/published/j5uEhpu0cEyvrevN9ipW/MjK7YZwj_CMXl_512.webp,,1024,1024
3xkZePtqkxZIkG3jBVJY,"Cartoon-style space exploration for the best marijuana in the galaxy finding big plants, black and white, spaceship crew in action, detailed space suits, futuristic spacecraft, high contrast, ink-style shading, detailed characters, galactic search, professional illustration, highres, detailed, cartoon, black and white, space exploration, futuristic, high contrast, detailed characters, spacecraft, space suits, galactic search, ink-style shading",https://cdn.openart.ai/uploads/image_t1nECoqo_1713069701024_raw.jpg,https://cdn.openart.ai/published/BdjmHLD8eky4No1GDo9k/HIWCs7Ae_AFoL_512.webp,,1024,1024
h7r9uUQz56Badoc1OK5w,"haring Mooncake: Description: Two cartoon characters (like two rabbits), one handing a mooncake to the other, both with warm smiles. Reference Example: Characters: Two cute rabbits, one handing the mooncake, the other receiving it. Action: The rabbit handing over the mooncake, the other reaching to take it. Colors: Mooncake in golden yellow, rabbits in white and pink, background in light green or light orange.",https://cdn.openart.ai/uploads/image_eyiJNTv5_1720966973167_raw.jpg,https://cdn.openart.ai/published/41fivLl5YJu3KhzAljYm/eSsPM9WG_N0Qk_512.webp,,1024,1024
jD8AxYDbNFZVDGD7vYIK,"Cartoon-style depiction of 'Investment Dojo' basketball court, Wall Street team in suits vs everyday people in basketball gear, vibrant and dynamic, detailed characters, expressive facial features, professional cartoon artwork, energetic and competitive atmosphere, vibrant colors, dynamic lighting, high quality, professional cartoon-style, detailed background",https://cdn.openart.ai/uploads/image_dg9NO2ID_1712939489268_raw.jpg,https://cdn.openart.ai/published/mfSAKVPbT1aU3AZ6ne0b/eps2X6mN_OpdR_512.webp,,1024,1024
PjpvIeCQ9gAQtzcArh7o,"Alphabet coloring book 24 pages illustration, vibrant colors, child-friendly, cartoon style, high quality, fun and playful, colorful letters, adorable animals, educational, whimsical background, cute and engaging characters, joyful expression, creative and imaginative, artistic medium: digital illustration, vibrant color palette, bright and cheerful lighting",https://cdn.openart.ai/uploads/image_4sX3Y6g9_1711589092295_raw.jpg,https://cdn.openart.ai/published/PCxqFATxt76ncREWWxY1/UQCNLGY6_CRYw_512.webp,,1024,1024
VU2mDV1tfXes87CvIXxm,"Cartoon-style illustration of an affiliate marketer helping an e-commerce entrepreneur, cheerful and dynamic vibe, vibrant and colorful, professional cartoon art, detailed characters, lively expression, high quality, energetic, vibrant colors, dynamic poses, digital art, cartoon style, detailed features, modern setting, professional attire, bright lighting",https://cdn.openart.ai/uploads/image_WYQwgvhi_1710374146477_raw.jpg,https://cdn.openart.ai/published/xlrD8dM2VNoH7TEkPrc8/-vfomPLZ_7XbL_512.webp,,1024,1024
CGa4v7ZxDQiX6wBjCbZz,"(cartoon style), (vibrant cool colors), playful characters, lively expression, whimsical background, charming atmosphere, cheerful vibe, bold outlines, exaggerated features, creative design elements, highly detailed illustration, captivating concept, unique characters, entertaining composition, inviting scene, imaginative creativity, striking aesthetics.",https://cdn.openart.ai/uploads/image_fvJSQWKu_1723861281220_raw.jpg,https://cdn.openart.ai/published/ZYtchJIaelGlqfFzbpe9/iMROsSJ8_sQcD_512.webp,,768,1024
TvczPeXqnQG8Z41qT2HZ,"(pixel art style), warm color scheme, book cover illustration, flat design, simple shapes, colorful, 2D, cute cartoon characters, whimsical design, strange cute creature, imaginative and playful ambiance, high-quality vector art, inviting and cheerful atmosphere, engaging for readers, well-crafted details, vibrant visuals that capture attention.",https://cdn.openart.ai/uploads/image_DTAhTw7b_1729621994316_raw.jpg,https://cdn.openart.ai/published/user_2nnvRw49ciOMooUFnZjeKmT1lhp/MCBTaX9g_2cuD_512.webp,,1024,1024
3LTzBzPBJPAl5vLkbQfy,"Cartoon illustration of a father with kids eating a big stack of pancakes, vibrant and playful colors, heartwarming family moment, traditional cartoon style, detailed expressions, cozy and inviting atmosphere, high quality, cartoon, family, vibrant colors, heartwarming, detailed characters, cozy atmosphere, playful, inviting lighting",https://cdn.openart.ai/uploads/image_CU0XGxwU_1712695025320_raw.jpg,https://cdn.openart.ai/published/ai3ai6DmjI3UhoM9awop/frB4rOxu_rEhd_512.webp,,1024,1024
N9W84v733kDDV8Ob1s4W,"Lisa Frank style Halloween diorama, vibrant rainbow colors, adorable spooky characters, glittery pumpkins, cute ghosts, magical unicorns, candy-filled cauldron, sparkly stars, high quality, vibrant, cute, Halloween, rainbow colors, magical, adorable characters, glittery, sparkling, diorama, festive, fun",https://cdn.openart.ai/uploads/image__uogSzl__1711318065073_raw.jpg,https://cdn.openart.ai/published/dFUGRsEBJJFsqjyatQsk/2VYiJ1Ge__nW7_512.webp,,640,640
